region,assortment,quarter,price_sek_m3
Northern Norrland,Sawlogs of Scots pine,2019Q1,472
Northern Norrland,Sawlogs of Scots pine,2019Q2,453
Northern Norrland,Sawlogs of Scots pine,2019Q3,439
Northern Norrland,Sawlogs of Scots pine,2019Q4,460
Northern Norrland,Sawlogs of Scots pine,2020Q1,459
Northern Norrland,Sawlogs of Scots pine,2020Q2,452
Northern Norrland,Sawlogs of Scots pine,2020Q3,432
Northern Norrland,Sawlogs of Scots pine,2020Q4,444
Northern Norrland,Sawlogs of Scots pine,2021Q1,442
Northern Norrland,Sawlogs of Scots pine,2021Q2,447
Northern Norrland,Sawlogs of Scots pine,2021Q3,469
Northern Norrland,Sawlogs of Scots pine,2021Q4,460
Northern Norrland,Sawlogs of Scots pine,2022Q1,468
Northern Norrland,Sawlogs of Scots pine,2022Q2,497
Northern Norrland,Sawlogs of Scots pine,2022Q3,497
Northern Norrland,Sawlogs of Scots pine,2022Q4,515
Northern Norrland,Sawlogs of Scots pine,2023Q1,542
Northern Norrland,Sawlogs of Scots pine,2023Q2,542
Northern Norrland,Sawlogs of Scots pine,2023Q3,544
Northern Norrland,Sawlogs of Scots pine,2023Q4,562
Northern Norrland,Sawlogs of Scots pine,2024Q1,594
Northern Norrland,Sawlogs of Scots pine,2024Q2,588
Northern Norrland,Sawlogs of Scots pine,2024Q3,628
Northern Norrland,Sawlogs of Scots pine,2024Q4,665
Northern Norrland,Sawlogs of Scots pine,2025Q1,741
Northern Norrland,Sawlogs of Scots pine,2025Q2,738
Northern Norrland,Sawlogs of Scots pine,2025Q3,732
Northern Norrland,Sawlogs of Scots pine,2025Q4,815
Northern Norrland,Sawlogs of Scots pine,2026Q1,765
Northern Norrland,Sawlogs of Scots pine,2026Q2 Prel.,710
Northern Norrland,Sawlogs of Norway spruce,2019Q1,424
Northern Norrland,Sawlogs of Norway spruce,2019Q2,409
Northern Norrland,Sawlogs of Norway spruce,2019Q3,405
Northern Norrland,Sawlogs of Norway spruce,2019Q4,388
Northern Norrland,Sawlogs of Norway spruce,2020Q1,406
Northern Norrland,Sawlogs of Norway spruce,2020Q2,404
Northern Norrland,Sawlogs of Norway spruce,2020Q3,392
Northern Norrland,Sawlogs of Norway spruce,2020Q4,395
Northern Norrland,Sawlogs of Norway spruce,2021Q1,394
Northern Norrland,Sawlogs of Norway spruce,2021Q2,393
Northern Norrland,Sawlogs of Norway spruce,2021Q3,437
Northern Norrland,Sawlogs of Norway spruce,2021Q4,426
Northern Norrland,Sawlogs of Norway spruce,2022Q1,459
Northern Norrland,Sawlogs of Norway spruce,2022Q2,484
Northern Norrland,Sawlogs of Norway spruce,2022Q3,505
Northern Norrland,Sawlogs of Norway spruce,2022Q4,497
Northern Norrland,Sawlogs of Norway spruce,2023Q1,504
Northern Norrland,Sawlogs of Norway spruce,2023Q2,518
Northern Norrland,Sawlogs of Norway spruce,2023Q3,517
Northern Norrland,Sawlogs of Norway spruce,2023Q4,567
Northern Norrland,Sawlogs of Norway spruce,2024Q1,574
Northern Norrland,Sawlogs of Norway spruce,2024Q2,569
Northern Norrland,Sawlogs of Norway spruce,2024Q3,670
Northern Norrland,Sawlogs of Norway spruce,2024Q4,592
Northern Norrland,Sawlogs of Norway spruce,2025Q1,736
Northern Norrland,Sawlogs of Norway spruce,2025Q2,735
Northern Norrland,Sawlogs of Norway spruce,2025Q3,744
Northern Norrland,Sawlogs of Norway spruce,2025Q4,799
Northern Norrland,Sawlogs of Norway spruce,2026Q1,788
Northern Norrland,Sawlogs of Norway spruce,2026Q2 Prel.,744
Northern Norrland,Sawlogs,2019Q1,459
Northern Norrland,Sawlogs,2019Q2,439
Northern Norrland,Sawlogs,2019Q3,431
Northern Norrland,Sawlogs,2019Q4,445
Northern Norrland,Sawlogs,2020Q1,443
Northern Norrland,Sawlogs,2020Q2,437
Northern Norrland,Sawlogs,2020Q3,421
Northern Norrland,Sawlogs,2020Q4,433
Northern Norrland,Sawlogs,2021Q1,428
Northern Norrland,Sawlogs,2021Q2,430
Northern Norrland,Sawlogs,2021Q3,463
Northern Norrland,Sawlogs,2021Q4,452
Northern Norrland,Sawlogs,2022Q1,465
Northern Norrland,Sawlogs,2022Q2,493
Northern Norrland,Sawlogs,2022Q3,499
Northern Norrland,Sawlogs,2022Q4,511
Northern Norrland,Sawlogs,2023Q1,528
Northern Norrland,Sawlogs,2023Q2,535
Northern Norrland,Sawlogs,2023Q3,540
Northern Norrland,Sawlogs,2023Q4,563
Northern Norrland,Sawlogs,2024Q1,586
Northern Norrland,Sawlogs,2024Q2,582
Northern Norrland,Sawlogs,2024Q3,642
Northern Norrland,Sawlogs,2024Q4,645
Northern Norrland,Sawlogs,2025Q1,739
Northern Norrland,Sawlogs,2025Q2,737
Northern Norrland,Sawlogs,2025Q3,735
Northern Norrland,Sawlogs,2025Q4,809
Northern Norrland,Sawlogs,2026Q1,772
Northern Norrland,Sawlogs,2026Q2 Prel.,722
Northern Norrland,Pulpwood of coniferous trees,2023Q1,352
Northern Norrland,Pulpwood of coniferous trees,2023Q2,387
Northern Norrland,Pulpwood of coniferous trees,2023Q3,394
Northern Norrland,Pulpwood of coniferous trees,2023Q4,406
Northern Norrland,Pulpwood of coniferous trees,2024Q1,412
Northern Norrland,Pulpwood of coniferous trees,2024Q2,400
Northern Norrland,Pulpwood of coniferous trees,2024Q3,459
Northern Norrland,Pulpwood of coniferous trees,2024Q4,402
Northern Norrland,Pulpwood of coniferous trees,2025Q1,554
Northern Norrland,Pulpwood of coniferous trees,2025Q2,543
Northern Norrland,Pulpwood of coniferous trees,2025Q3,533
Northern Norrland,Pulpwood of coniferous trees,2025Q4,550
